Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-02-11 11:00,BTCUSD,3591.32,3591.93,3585.02,3585.03,68.09,244270.76
2019-02-11 10:00,BTCUSD,3597.99,3602.0,3585.92,3591.32,152.89,549488.49
2019-02-11 09:00,BTCUSD,3588.71,3598.57,3588.7,3597.99,70.19,252240.13
2019-02-11 08:00,BTCUSD,3598.3,3598.3,3588.7,3588.71,101.21,363605.54
2019-02-11 07:00,BTCUSD,3596.8,3598.3,3593.64,3598.3,96.96,348782.57
2019-02-11 06:00,BTCUSD,3588.45,3596.8,3586.3,3596.8,95.22,341981.58
2019-02-11 05:00,BTCUSD,3595.56,3595.56,3586.67,3588.45,172.73,620204.19
2019-02-11 04:00,BTCUSD,3596.29,3596.41,3585.88,3595.56,271.05,973654.98
2019-02-11 03:00,BTCUSD,3600.01,3600.01,3595.05,3596.29,224.02,805933.73
2019-02-11 02:00,BTCUSD,3604.23,3608.66,3600.0,3600.01,231.32,833856.12
2019-02-11 01:00,BTCUSD,3610.0,3610.0,3595.8,3604.23,287.81,1036622.89
2019-02-11 00:00,BTCUSD,3648.85,3652.0,3584.24,3610.0,1690.79,6104935.85
2019-02-10 23:00,BTCUSD,3623.28,3654.28,3618.58,3648.85,1344.27,4890834.02
2019-02-10 22:00,BTCUSD,3604.97,3625.0,3604.97,3623.28,270.81,979146.67
2019-02-10 21:00,BTCUSD,3604.0,3605.0,3601.05,3604.97,190.84,687675.33
2019-02-10 20:00,BTCUSD,3607.99,3607.99,3601.05,3604.0,137.96,497164.25
2019-02-10 19:00,BTCUSD,3609.94,3611.0,3604.18,3607.99,158.89,573190.44
2019-02-10 18:00,BTCUSD,3605.71,3612.47,3605.19,3609.94,180.23,650359.79
2019-02-10 17:00,BTCUSD,3611.31,3613.0,3605.0,3605.71,200.74,724222.63
2019-02-10 16:00,BTCUSD,3594.88,3619.33,3594.88,3611.31,371.52,1339350.84
2019-02-10 15:00,BTCUSD,3585.6,3597.01,3585.59,3594.88,128.92,463116.11
2019-02-10 14:00,BTCUSD,3599.75,3601.51,3585.05,3585.6,195.63,702852.28
2019-02-10 13:00,BTCUSD,3596.43,3600.0,3590.02,3599.75,96.1,345449.7
2019-02-10 12:00,BTCUSD,3604.1,3607.25,3596.43,3596.43,104.42,375946.94
2019-02-10 11:00,BTCUSD,3609.99,3610.0,3602.0,3604.1,88.19,318103.12
2019-02-10 10:00,BTCUSD,3604.31,3609.99,3601.01,3609.99,96.78,349008.04
2019-02-10 09:00,BTCUSD,3604.31,3604.31,3600.43,3604.31,63.44,228608.66
2019-02-10 08:00,BTCUSD,3600.01,3605.2,3600.01,3604.31,143.14,515780.88
2019-02-10 07:00,BTCUSD,3602.9,3605.0,3578.59,3600.01,267.51,961508.51
2019-02-10 06:00,BTCUSD,3618.51,3618.51,3598.0,3602.9,245.19,884689.1
2019-02-10 05:00,BTCUSD,3620.57,3620.57,3615.01,3618.51,123.85,448036.39
2019-02-10 04:00,BTCUSD,3616.83,3620.57,3616.03,3620.57,89.99,325670.28
2019-02-10 03:00,BTCUSD,3621.45,3621.45,3615.6,3616.83,183.83,665219.22
2019-02-10 02:00,BTCUSD,3618.0,3622.32,3618.0,3621.45,141.35,511812.69
2019-02-10 01:00,BTCUSD,3619.99,3622.58,3616.17,3618.0,157.42,569608.77
2019-02-10 00:00,BTCUSD,3623.73,3630.31,3618.53,3619.99,184.23,668169.76
2019-02-09 23:00,BTCUSD,3620.64,3627.77,3616.58,3623.73,172.61,625033.91
2019-02-09 22:00,BTCUSD,3620.0,3622.25,3615.15,3620.64,214.78,777637.65
2019-02-09 21:00,BTCUSD,3612.44,3620.0,3612.43,3620.0,183.68,664274.0
2019-02-09 20:00,BTCUSD,3612.95,3614.38,3612.0,3612.44,179.59,648874.58
2019-02-09 19:00,BTCUSD,3605.26,3613.96,3605.25,3612.95,179.94,649590.06
2019-02-09 18:00,BTCUSD,3605.65,3609.0,3602.0,3605.26,254.42,917275.19
2019-02-09 17:00,BTCUSD,3608.09,3609.44,3603.36,3605.65,182.8,659097.33
2019-02-09 16:00,BTCUSD,3606.72,3613.09,3597.0,3608.09,205.55,741473.87
